LABEL,CONNECTIONS,TYPE,HEMI,CLASSIFICATION_NAME,PAIR,SIZE
1,"L_Frontal - R_Frontal",C,C,C-FrontalFrontal-C,0,267498
2,"R_Frontal - R_Parietal",A,R,A-FrontalParietal-R,3,86592
3,"L_Frontal - L_Parietal",A,L,A-FrontalParietal-L,2,71831
4,"L_Frontal - L_Temporal",A,L,A-FrontalTemporal-L,8,64907
5,"R_Parietal - R_Temporal",A,R,A-ParietalTemporal-R,6,46151
6,"L_Parietal - L_Temporal",A,L,A-ParietalTemporal-L,5,49571
7,"R_Occipital - R_Temporal",A,R,A-OccipitalTemporal-R,9,52014
8,"R_Frontal - R_Temporal",A,R,A-FrontalTemporal-R,4,30314
9,"L_Occipital - L_Temporal",A,L,A-OccipitalTemporal-L,7,45870
10,"L_Parietal - R_Parietal",C,C,C-ParietalParietal-C,0,29157
11,"R_Frontal - R_Temporal
R_Parietal - R_Temporal",A-A,R,A-A-FrontalTemporal-ParietalTemporal-R,12,19907
12,"L_Frontal - L_Temporal
L_Parietal - L_Temporal",A-A,L,A-A-FrontalTemporal-ParietalTemporal-L,11,16471
13,"L_Frontal - L_Subcortical",P,L,P-FrontalSubcortical-L,14,17870
14,"R_Frontal - R_Subcortical",P,R,P-FrontalSubcortical-R,13,16962
15,"R_Frontal - Brainstem",P,R,P-FrontalBrainstem-R,17,15228
16,"L_Cerebellum - R_Cerebellum",Cb,C,Cb-CerebellumCerebellum-C,0,30877
17,"L_Frontal - Brainstem",P,L,P-FrontalBrainstem-L,15,12875
18,"L_Cerebellum - R_Cerebellum
R_Cerebellum - Brainstem",Cb-Cb,RC,Cb-Cb-CerebellumCerebellum-CerebellumBrainstem-RC,19,14913
19,"L_Cerebellum - R_Cerebellum
L_Cerebellum - Brainstem",Cb-Cb,LC,Cb-Cb-CerebellumCerebellum-CerebellumBrainstem-LC,18,14969
20,"R_Frontal - R_Parietal
R_Parietal - R_Temporal",A-A,R,A-A-FrontalParietal-ParietalTemporal-R,27,10065
21,"L_Frontal - R_Frontal
R_Frontal - R_Parietal",C-A,RC,C-A-FrontalFrontal-FrontalParietal-RC,0,4975
22,"R_Frontal - R_Subcortical
R_Frontal - Brainstem",P-P,R,P-P-FrontalSubcortical-FrontalBrainstem-R,28,9215
23,"L_Frontal - L_Parietal
L_Frontal - R_Frontal",A-C,LC,A-C-FrontalParietal-FrontalFrontal-LC,0,6085
24,"R_Frontal - R_Parietal
R_Frontal - R_Temporal",A-A,R,A-A-FrontalParietal-FrontalTemporal-R,32,9577
25,"R_Parietal - R_Temporal
R_Occipital - R_Temporal",A-A,R,A-A-ParietalTemporal-OccipitalTemporal-R,42,7072
26,"L_Parietal - L_Occipital",A,L,A-ParietalOccipital-L,33,23464
27,"L_Frontal - L_Parietal
L_Parietal - L_Temporal",A-A,L,A-A-FrontalParietal-ParietalTemporal-L,20,7106
28,"L_Frontal - L_Subcortical
L_Frontal - Brainstem",P-P,L,P-P-FrontalSubcortical-FrontalBrainstem-L,22,8095
29,"L_Frontal - L_Occipital
L_Occipital - L_Temporal",A-A,L,A-A-FrontalOccipital-OccipitalTemporal-L,30,11118
30,"R_Frontal - R_Occipital
R_Occipital - R_Temporal",A-A,R,A-A-FrontalOccipital-OccipitalTemporal-R,29,8641
31,"L_Frontal - L_Cingulate",A,L,A-FrontalCingulate-L,34,11668
32,"L_Frontal - L_Parietal
L_Frontal - L_Temporal",A-A,L,A-A-FrontalParietal-FrontalTemporal-L,24,4255
33,"R_Parietal - R_Occipital",A,R,A-ParietalOccipital-R,26,17820
34,"R_Frontal - R_Cingulate",A,R,A-FrontalCingulate-R,31,9202
35,"L_Cerebellum - Brainstem",Cb,L,Cb-CerebellumBrainstem-L,43,7221
36,"L_Frontal - L_Parietal
L_Parietal - R_Parietal",A-C,LC,A-C-FrontalParietal-ParietalParietal-LC,0,6477
37,"L_Frontal - L_Parietal
L_Parietal - L_Cingulate",A-A,L,A-A-FrontalParietal-ParietalCingulate-L,45,9154
38,"L_Frontal - Brainstem
L_Parietal - Brainstem",P-P,L,P-P-FrontalBrainstem-ParietalBrainstem-L,39,8787
39,"R_Frontal - Brainstem
R_Parietal - Brainstem",P-P,R,P-P-FrontalBrainstem-ParietalBrainstem-R,38,9113
40,"L_Frontal - R_Frontal
R_Frontal - Brainstem",C-P,RC,C-P-FrontalFrontal-FrontalBrainstem-RC,44,6004
41,"L_Parietal - R_Parietal
R_Frontal - R_Parietal",C-A,RC,C-A-ParietalParietal-FrontalParietal-RC,0,4761
42,"L_Parietal - L_Temporal
L_Occipital - L_Temporal",A-A,L,A-A-ParietalTemporal-OccipitalTemporal-L,25,3685
43,"R_Cerebellum - Brainstem",Cb,R,Cb-CerebellumBrainstem-R,35,5232
44,"L_Frontal - R_Frontal
L_Frontal - Brainstem",C-P,LC,C-P-FrontalFrontal-FrontalBrainstem-LC,40,5061
45,"R_Frontal - R_Parietal
R_Parietal - R_Cingulate",A-A,R,A-A-FrontalParietal-ParietalCingulate-R,37,8281
46,"R_Temporal - R_Subcortical",P,R,P-TemporalSubcortical-R,73,7642
47,"L_Occipital - R_Occipital",C,C,C-OccipitalOccipital-C,0,12671
48,"L_Frontal - L_Temporal
L_Frontal - R_Frontal",A-C,LC,A-C-FrontalTemporal-FrontalFrontal-LC,0,26
49,"R_Parietal - R_Cingulate",A,R,A-ParietalCingulate-R,52,2989
50,"L_Frontal - L_Parietal
L_Frontal - L_Cingulate",A-A,L,A-A-FrontalParietal-FrontalCingulate-L,60,3484
51,"R_Parietal - R_Occipital
R_Parietal - R_Temporal",A-A,R,A-A-ParietalOccipital-ParietalTemporal-R,57,3553
52,"L_Parietal - L_Cingulate",A,L,A-ParietalCingulate-L,49,2668
53,"L_Frontal - Brainstem
R_Frontal - Brainstem",P-P,C,P-P-FrontalBrainstem-FrontalBrainstem-C,0,3595
54,"L_Frontal - R_Frontal
R_Frontal - R_Cingulate",C-A,RC,C-A-FrontalFrontal-FrontalCingulate-RC,0,643
55,"L_Frontal - L_Temporal
L_Temporal - L_Subcortical",A-P,L,A-P-FrontalTemporal-TemporalSubcortical-L,67,3670
56,"L_Frontal - L_Occipital
L_Frontal - L_Temporal",A-A,L,A-A-FrontalOccipital-FrontalTemporal-L,65,2592
57,"L_Parietal - L_Occipital
L_Parietal - L_Temporal",A-A,L,A-A-ParietalOccipital-ParietalTemporal-L,51,2918
58,"R_Frontal - R_Temporal
R_Parietal - R_Temporal
R_Occipital - R_Temporal",A-A-A,R,A-A-A-FrontalTemporal-ParietalTemporal-OccipitalTemporal-R,61,897
59,"R_Parietal - Brainstem",P,R,P-ParietalBrainstem-R,66,1449
60,"R_Frontal - R_Parietal
R_Frontal - R_Cingulate",A-A,R,A-A-FrontalParietal-FrontalCingulate-R,50,2040
61,"L_Frontal - L_Temporal
L_Parietal - L_Temporal
L_Occipital - L_Temporal",A-A-A,L,A-A-A-FrontalTemporal-ParietalTemporal-OccipitalTemporal-L,58,924
62,"L_Frontal - Brainstem
L_Subcortical - Brainstem",P-P,L,P-P-FrontalBrainstem-SubcorticalBrainstem-L,64,1577
63,"L_Frontal - L_Parietal
L_Frontal - L_Occipital
L_Frontal - L_Temporal",A-A-A,L,A-A-A-FrontalParietal-FrontalOccipital-FrontalTemporal-L,89,3406
64,"R_Frontal - Brainstem
R_Subcortical - Brainstem",P-P,R,P-P-FrontalBrainstem-SubcorticalBrainstem-R,62,1645
65,"R_Frontal - R_Occipital
R_Frontal - R_Temporal",A-A,R,A-A-FrontalOccipital-FrontalTemporal-R,56,1933
66,"L_Parietal - Brainstem",P,L,P-ParietalBrainstem-L,59,1461
67,"R_Frontal - R_Temporal
R_Temporal - R_Subcortical",A-P,R,A-P-FrontalTemporal-TemporalSubcortical-R,55,3021
68,"L_Frontal - L_Cingulate
L_Parietal - L_Cingulate",A-A,L,A-A-FrontalCingulate-ParietalCingulate-L,82,1384
69,"L_Frontal - L_Temporal
L_Frontal - Brainstem",A-P,L,A-P-FrontalTemporal-FrontalBrainstem-L,80,646
70,"L_Frontal - L_Parietal
L_Parietal - L_Temporal
L_Parietal - Brainstem",A-A-P,L,A-A-P-FrontalParietal-ParietalTemporal-ParietalBrainstem-L,92,2431
71,"L_Frontal - R_Frontal
R_Frontal - R_Subcortical",C-P,RC,C-P-FrontalFrontal-FrontalSubcortical-RC,0,299
72,"L_Frontal - L_Parietal
L_Parietal - Brainstem",A-P,L,A-P-FrontalParietal-ParietalBrainstem-L,74,1430
73,"L_Temporal - L_Subcortical",P,L,P-TemporalSubcortical-L,46,4155
74,"R_Frontal - R_Parietal
R_Parietal - Brainstem",A-P,R,A-P-FrontalParietal-ParietalBrainstem-R,72,2384
75,"L_Frontal - L_Temporal
L_Occipital - L_Temporal",A-A,L,A-A-FrontalTemporal-OccipitalTemporal-L,84,203
76,"R_Frontal - R_Parietal
R_Frontal - Brainstem",A-P,R,A-P-FrontalParietal-FrontalBrainstem-R,85,2019
77,"R_Parietal - R_Occipital
R_Occipital - R_Temporal",A-A,R,A-A-ParietalOccipital-OccipitalTemporal-R,96,772
78,"L_Frontal - L_Cingulate
L_Frontal - R_Frontal",A-C,LC,A-C-FrontalCingulate-FrontalFrontal-LC,0,234
79,"R_Frontal - R_Cerebellum
R_Frontal - Brainstem",P,R,P-FrontalCerebellum-FrontalBrainstem-R,117,1181
80,"R_Frontal - R_Temporal
R_Frontal - Brainstem",A-P,R,A-P-FrontalTemporal-FrontalBrainstem-R,69,1310
81,"L_Parietal - R_Parietal
R_Frontal - R_Parietal
R_Parietal - Brainstem",C-A-P,RC,C-A-P-ParietalParietal-FrontalParietal-ParietalBrainstem-RC,0,2004
82,"R_Frontal - R_Cingulate
R_Parietal - R_Cingulate",A-A,R,A-A-FrontalCingulate-ParietalCingulate-R,68,1066
83,"L_Frontal - L_Parietal
L_Parietal - R_Parietal
L_Parietal - Brainstem",A-C-P,LC,A-C-P-FrontalParietal-ParietalParietal-ParietalBrainstem-LC,0,1798
84,"R_Frontal - R_Temporal
R_Occipital - R_Temporal",A-A,R,A-A-FrontalTemporal-OccipitalTemporal-R,75,115
85,"L_Frontal - L_Parietal
L_Frontal - Brainstem",A-P,L,A-P-FrontalParietal-FrontalBrainstem-L,76,1084
86,"L_Frontal - L_Occipital",A,L,A-FrontalOccipital-L,103,184
87,"L_Parietal - R_Parietal
L_Temporal - R_Parietal",C-C,C,C-C-ParietalParietal-TemporalParietal-C,0,1307
88,"L_Occipital - R_Parietal
L_Occipital - R_Occipital",C-C,C,C-C-OccipitalParietal-OccipitalOccipital-C,0,3652
89,"R_Frontal - R_Parietal
R_Frontal - R_Occipital
R_Frontal - R_Temporal",A-A-A,R,A-A-A-FrontalParietal-FrontalOccipital-FrontalTemporal-R,63,1796
90,"L_Parietal - R_Parietal
R_Parietal - Brainstem",C-P,RC,C-P-ParietalParietal-ParietalBrainstem-RC,111,1594
91,"L_Parietal - R_Parietal
L_Parietal - R_Temporal",C-C,C,C-C-ParietalParietal-ParietalTemporal-C,0,1124
92,"R_Frontal - R_Parietal
R_Parietal - R_Temporal
R_Parietal - Brainstem",A-A-P,R,A-A-P-FrontalParietal-ParietalTemporal-ParietalBrainstem-R,70,1508
93,"L_Cerebellum - Brainstem
R_Cerebellum - Brainstem",Cb-Cb,C,Cb-Cb-CerebellumBrainstem-CerebellumBrainstem-C,0,1522
94,"L_Frontal - L_Parietal
L_Frontal - L_Cingulate
L_Frontal - R_Frontal",A-A-C,LC,A-A-C-FrontalParietal-FrontalCingulate-FrontalFrontal-LC,0,366
95,"L_Frontal - L_Parietal
L_Frontal - R_Frontal
L_Frontal - Brainstem",A-C-P,LC,A-C-P-FrontalParietal-FrontalFrontal-FrontalBrainstem-LC,0,576
96,"L_Parietal - L_Occipital
L_Occipital - L_Temporal",A-A,L,A-A-ParietalOccipital-OccipitalTemporal-L,77,49
97,"R_Frontal - R_Parietal
R_Frontal - R_Occipital",A-A,R,A-A-FrontalParietal-FrontalOccipital-R,107,1185
98,"L_Frontal - L_Subcortical
L_Frontal - R_Frontal",P-C,LC,P-C-FrontalSubcortical-FrontalFrontal-LC,0,165
99,"L_Frontal - L_Temporal
L_Frontal - L_Subcortical",A-P,L,A-P-FrontalTemporal-FrontalSubcortical-L,126,535
100,"L_Frontal - L_Parietal
L_Frontal - L_Temporal
L_Frontal - R_Frontal",A-A-C,LC,A-A-C-FrontalParietal-FrontalTemporal-FrontalFrontal-LC,0,243
101,"L_Frontal - R_Frontal
R_Frontal - R_Parietal
R_Frontal - R_Temporal",C-A-A,RC,C-A-A-FrontalFrontal-FrontalParietal-FrontalTemporal-RC,0,79
102,"L_Frontal - R_Frontal
R_Frontal - R_Parietal
R_Frontal - R_Cingulate",C-A-A,RC,C-A-A-FrontalFrontal-FrontalParietal-FrontalCingulate-RC,0,399
103,"R_Frontal - R_Occipital",A,R,A-FrontalOccipital-R,86,390
104,"L_Frontal - R_Frontal
R_Frontal - R_Parietal
R_Frontal - Brainstem",C-A-P,RC,C-A-P-FrontalFrontal-FrontalParietal-FrontalBrainstem-RC,0,261
105,"L_Parietal - R_Parietal
L_Temporal - R_Parietal
L_Parietal - R_Temporal",C-C-C,C,C-C-C-ParietalParietal-TemporalParietal-ParietalTemporal-C,0,2591
106,"L_Parietal - R_Occipital
L_Occipital - R_Occipital",C-C,C,C-C-ParietalOccipital-OccipitalOccipital-C,0,2708
107,"L_Frontal - L_Parietal
L_Frontal - L_Occipital",A-A,L,A-A-FrontalParietal-FrontalOccipital-L,97,885
108,"L_Frontal - L_Parietal
L_Frontal - L_Temporal
L_Parietal - L_Temporal",A-A-A,L,A-A-A-FrontalParietal-FrontalTemporal-ParietalTemporal-L,110,274
109,"L_Frontal - L_Parietal
L_Parietal - L_Cingulate
L_Parietal - R_Parietal",A-A-C,LC,A-A-C-FrontalParietal-ParietalCingulate-ParietalParietal-LC,0,728
110,"R_Frontal - R_Parietal
R_Frontal - R_Temporal
R_Parietal - R_Temporal",A-A-A,R,A-A-A-FrontalParietal-FrontalTemporal-ParietalTemporal-R,108,180
111,"L_Parietal - R_Parietal
L_Parietal - Brainstem",C-P,LC,C-P-ParietalParietal-ParietalBrainstem-LC,90,1319
112,"L_Parietal - R_Parietal
R_Frontal - R_Parietal
R_Parietal - R_Cingulate",C-A-A,RC,C-A-A-ParietalParietal-FrontalParietal-ParietalCingulate-RC,0,682
113,"L_Parietal - R_Parietal
L_Occipital - R_Parietal
L_Parietal - R_Occipital
L_Occipital - R_Occipital",C-C-C-C,C,C-C-C-C-ParietalParietal-OccipitalParietal-ParietalOccipital-OccipitalOccipital-C,0,2207
114,"L_Parietal - L_Temporal
L_Parietal - R_Parietal",A-C,LC,A-C-ParietalTemporal-ParietalParietal-LC,0,14
115,"L_Frontal - R_Frontal
L_Parietal - R_Frontal",C-C,C,C-C-FrontalFrontal-ParietalFrontal-C,0,370
116,"R_Parietal - R_Cerebellum
R_Parietal - Brainstem",P,R,P-ParietalCerebellum-ParietalBrainstem-R,149,1964
117,"L_Frontal - L_Cerebellum
L_Frontal - Brainstem",P,L,P-FrontalCerebellum-FrontalBrainstem-L,79,395
118,"L_Frontal - R_Frontal
L_Frontal - R_Parietal",C-C,C,C-C-FrontalFrontal-FrontalParietal-C,0,189
119,"L_Parietal - L_Temporal
L_Parietal - Brainstem",A-P,L,A-P-ParietalTemporal-ParietalBrainstem-L,132,521
